,counties,index
370,"New Haven County, CT",620
371,"New Haven County, CT",1299
372,"New Haven County, CT",1416
373,"Fairfield County, CT",1484
374,"Hartford County, CT",1293
375,"New Haven County, CT",52
376,"Fairfield County, CT",567
377,"Fairfield County, CT",180
378,"Fairfield County, CT",1620
379,"New Haven County, CT",1800
380,"Hartford County, CT",639
381,"Hartford County, CT",1368
382,"New Castle County, DE",1559
383,"Kent County, DE",379
384,"Kent County, DE",212
385,"Kent County, DE",331
386,"Kent County, DE",1421
387,"New Castle County, DE",579
388,"New Castle County, DE",161
389,"Kent County, DE",1690
390,"New Castle County, DE",703
391,"New Castle County, DE",716
392,"New Castle County, DE",1073
393,"District of Columbia County, DC",122
394,"District of Columbia County, DC",1050
395,NA,1399
396,"District of Columbia County, DC",1058
397,"District of Columbia County, DC",1057
398,"District of Columbia County, DC",1957
399,"District of Columbia County, DC",119
400,"District of Columbia County, DC",1859
401,"District of Columbia County, DC",797
402,"District of Columbia County, DC",1389
403,"District of Columbia County, DC",1197
404,"District of Columbia County, DC",697
405,"District of Columbia County, DC",2053
406,"District of Columbia County, DC",26
407,"District of Columbia County, DC",681
408,"District of Columbia County, DC",1836
409,"District of Columbia County, DC",675
410,"District of Columbia County, DC",1565
411,"District of Columbia County, DC",1564
412,"District of Columbia County, DC",990
413,"District of Columbia County, DC",1943
414,"District of Columbia County, DC",1563
415,"District of Columbia County, DC",999
416,"District of Columbia County, DC",1524
417,"District of Columbia County, DC",1923
418,"District of Columbia County, DC",1075
419,"District of Columbia County, DC",2014
420,"District of Columbia County, DC",1072
421,"District of Columbia County, DC",1018
422,"District of Columbia County, DC",808
423,"District of Columbia County, DC",1022
424,"District of Columbia County, DC",824
425,"District of Columbia County, DC",1097
426,"District of Columbia County, DC",1042
427,"Duval County, FL",512
428,"Walton County, FL",1621
429,"Duval County, FL",733
430,"Palm Beach County, FL",1558
431,"Volusia County, FL",1644
432,"Miami-Dade County, FL",1555
433,NA,934
434,"Marion County, FL",243
435,NA,1818
436,"Walton County, FL",722
437,"Duval County, FL",1609
438,"Miami-Dade County, FL",875
439,"Duval County, FL",1606
440,"Lake County, FL",931
441,"Seminole County, FL",713
442,NA,1355
443,"Miami-Dade County, FL",941
444,"Duval County, FL",1573
445,"Hillsborough County, FL",688
446,"Volusia County, FL",1342
447,"Miami-Dade County, FL",1335
448,"Lee County, FL",497
449,"Duval County, FL",1599
450,"Duval County, FL",30
451,"Duval County, FL",957
452,"Walton County, FL",694
453,"Duval County, FL",1608
454,"Miami-Dade County, FL",930
455,"Orange County, FL",640
456,"Broward County, FL",1649
457,"Duval County, FL",564
458,"Palm Beach County, FL",888
459,"Pinellas County, FL",583
460,"Duval County, FL",215
461,"Orange County, FL",1433
462,"Palm Beach County, FL",217
463,"Palm Beach County, FL",47
464,"Broward County, FL",261
465,"Duval County, FL",1390
466,"Pasco County, FL",901
467,"Broward County, FL",260
468,"Broward County, FL",595
469,"Brevard County, FL",1439
470,"Palm Beach County, FL",1452
471,"Palm Beach County, FL",200
472,"Escambia County, FL",1456
473,"Broward County, FL",1376
474,NA,800
475,"Hillsborough County, FL",912
476,"Collier County, FL",51
477,"Orange County, FL",1482
478,"Miami-Dade County, FL",1507
479,"Orange County, FL",769
480,"Duval County, FL",768
481,"Orange County, FL",527
482,NA,1801
483,"Palm Beach County, FL",1370
484,"Miami-Dade County, FL",1414
485,"Duval County, FL",649
486,"Palm Beach County, FL",1814
487,"Miami-Dade County, FL",960
488,"Duval County, FL",1591
489,"Miami-Dade County, FL",1963
490,"Bay County, FL",363
491,"Volusia County, FL",1988
492,"Miami-Dade County, FL",1003
493,"Seminole County, FL",1005
494,"Miami-Dade County, FL",449
495,"Columbia County, FL",1956
496,"Hillsborough County, FL",1249
497,"Palm Beach County, FL",2033
498,"Duval County, FL",2031
499,"Seminole County, FL",1920
500,"Lake County, FL",1007
501,"Palm Beach County, FL",1013
502,"Duval County, FL",402
503,"Duval County, FL",124
504,"Marion County, FL",417
505,"Miami-Dade County, FL",1039
506,"Miami-Dade County, FL",8
507,"Palm Beach County, FL",1021
508,"Miami-Dade County, FL",381
509,"Lee County, FL",1225
510,"Miami-Dade County, FL",434
511,"Seminole County, FL",433
512,"Miami-Dade County, FL",1272
513,"Miami-Dade County, FL",354
514,"Miami-Dade County, FL",423
515,"Duval County, FL",1069
516,"Citrus County, FL",372
517,NA,1291
518,"Orange County, FL",1898
519,"Pinellas County, FL",1231
520,"Palm Beach County, FL",978
521,"Palm Beach County, FL",1154
522,"Duval County, FL",136
523,"Duval County, FL",1870
524,"Duval County, FL",973
525,"Lake County, FL",291
526,"Lee County, FL",1127
527,"Miami-Dade County, FL",485
528,"Miami-Dade County, FL",1103
529,"Duval County, FL",1241
530,"Orange County, FL",474
531,"Orange County, FL",141
532,"Pasco County, FL",128
533,"Pinellas County, FL",1243
534,"Duval County, FL",1203
535,"Hillsborough County, FL",1236
536,"Duval County, FL",1209
537,"Broward County, FL",23
538,"Orange County, FL",467
539,"Franklin County, FL",329
540,"Miami-Dade County, FL",967
541,"Collier County, FL",399
542,"Miami-Dade County, FL",2041
543,"Hendry County, FL",1895
544,"Lake County, FL",1210
545,"Seminole County, FL",1864
546,"Palm Beach County, FL",483
547,"Fulton County, GA",294
548,"Clayton County, GA",1981
549,"Baldwin County, GA",293
550,"Colquitt County, GA",383
551,NA,17
552,"Richmond County, GA",390
553,"Whitfield County, GA",257
554,"Fulton County, GA",1996
555,"Fulton County, GA",1460
556,"Chatham County, GA",1064
557,"Chatham County, GA",1852
558,NA,78
559,"Douglas County, GA",309
560,"Lowndes County, GA",310
561,"DeKalb County, GA",130
562,"Dougherty County, GA",1574
563,"Fulton County, GA",129
564,"Liberty County, GA",684
565,"DeKalb County, GA",151
566,"Clayton County, GA",1618
567,"Richmond County, GA",1215
568,"Fulton County, GA",1098
569,"Fulton County, GA",242
570,"Fulton County, GA",84
571,"Fulton County, GA",665
572,"Fulton County, GA",341
573,"Fulton County, GA",235
574,"Gwinnett County, GA",2029
575,"Forsyth County, GA",1646
576,"Columbia County, GA",1092
577,"Clayton County, GA",736
578,"Fulton County, GA",645
579,"Cobb County, GA",2019
580,"Fulton County, GA",762
581,"Bibb County, GA",2018
582,"Fulton County, GA",1081
583,"Bibb County, GA",2035
584,"Spalding County, GA",233
585,"Fulton County, GA",108
586,"Douglas County, GA",1735
587,"Appling County, GA",195
588,"DeKalb County, GA",469
589,"Fulton County, GA",425
590,"Chatham County, GA",894
591,"Chatham County, GA",995
592,"Jones County, GA",1894
593,"Cobb County, GA",173
594,"Fulton County, GA",1269
595,"Henry County, GA",1810
596,"Rockdale County, GA",106
597,"DeKalb County, GA",1936
